city_name_e,city_name_h,freq,latitude,longitude,religion,settlement_type,monthly_income_nis,employment_rate,אשכול_פריפריאליות
Ka'abiyye-Tabbash-Hajajre,כעביהטבאשחגאגרה,0.667711599,32.7567,35.1858,ערבים-מוסלמים,מועצה מקומית,8624,53.10%,4
Rahat,רהט,0.641591383,31.3994,34.7542,ערבים-מוסלמים,עיר בדואית,8101,44.80%,4
Ibtin,אבטין,0.617070358,32.7668,35.1126,ערבים-מוסלמים,כפר בדואי,7584,48.90%,4
Jaljulia,גלגוליה,0.611040877,32.1576,34.9537,ערבים-מוסלמים,מועצה מקומית,7695,50.70%,7
Khawaled,חואלד,0.608527132,31.4166669,35.283333,ערבים-מוסלמים,כפר בדואי,?,?,4
Suweid Hamira,סואעד חמרייה,0.592592593,32.7726,35.1672,ערבים-מוסלמים,כפר בדואי,?,?,4
Hussniyya,חוסנייה,0.585669782,32.907,35.3214,ערבים-מוסלמים,כפר בדואי,?,?,3
Kamanneh,כמאנה,0.563567362,32.9096182,35.3472444,ערבים-מוסלמים,כפר בדואי,?,?,3
Bu'eine Nujeidat,בועיינהנוגידאת,0.558358818,32.8156,35.3695,ערבים-מוסלמים,מועצה מקומית,8110,51.10%,3
Hura,חורה,0.548230088,31.3032,34.9365,ערבים-מוסלמים,מועצה מקומית בדואית,8422,39.20%,3
Ras al-Ein,ראס אלעין,0.532994924,32.9214,35.3746,ערבים-מוסלמים,כפר ערבי,?,?,3
Kafr Qara,כפר קרע,0.502886088,32.5121,35.0519,ערבים-מוסלמים,מועצה מקומית,9682,54.40%,5
"Taibe, Galilee",טייבה בעמק,0.480865225,32.6102,35.4443,ערבים-מוסלמים,כפר ערבי,8413,53.10%,3
Kafr Misr,כפר מצר,0.474137931,32.64232,35.421805,ערבים-מוסלמים,כפר ערבי,8473,51.30%,3
Rumat al-Heib,רומת הייב,0.464566929,32.7847,35.3032,ערבים-מוסלמים,כפר בדואי,9624,47.80%,3
Sulam,סולם,0.452612932,32.6061864,35.3338887,ערבים-מוסלמים,כפר ערבי,9237,49.30%,4
Na'ura,נאעורה,0.450588235,32.6140155,35.3903478,ערבים-מוסלמים,כפר ערבי,8766,48.00%,3
Deir al-Asad,דייר אלאסד,0.449951251,32.9418,35.2685,ערבים-מוסלמים,מועצה מקומית,10137,53.00%,4
Uzeir,עוזייר,0.443518519,32.7900696,35.3271751,ערבים-מוסלמים,כפר ערבי,7602,46.80%,3
Tamra,טמרה יזרעאל,0.435742972,32.6343499,35.4042528,ערבים-מוסלמים,כפר ערבי,8115,49.70%,3
Mashhad,משהד,0.418238994,32.7457,35.3234,ערבים-מוסלמים,מועצה מקומית,8008,46.30%,5
